ticker,g1,g2,tg,dr,mos,zscore_thresh
,14.0,10.0,5.0,12.0,25,2.0
BEL,17.0,13.0,5.5,12.0,25,2.0
DATAPATTNS,25.0,18.0,6.0,13.0,30,2.0
POWERGRID,8.0,7.0,5.0,11.0,20,2.0
SBIN,10.0,8.0,5.0,13.0,25,2.5
COALINDIA,5.0,4.0,4.0,11.0,20,3.0
PFC,12.0,9.0,5.0,12.0,25,2.0
LT,14.0,11.0,5.5,12.0,25,2.0
ONGC,7.0,6.0,4.0,12.0,25,3.0
ZENTEC,20.0,14.0,6.0,13.0,30,2.0
HINDZINC,9.0,8.0,4.5,11.0,20,2.5
NMDC,8.0,6.0,4.0,12.0,25,3.0
TATACONSUM,14.0,11.0,5.5,12.0,25,2.0
NTPC,8.0,7.0,5.0,11.0,20,2.0
M&M,15.0,12.0,5.5,12.0,25,2.0
KRISHNADEF,22.0,16.0,6.0,13.0,30,2.0
SYRMA,28.0,20.0,6.0,13.0,30,2.0
ICICIBANK,14.0,11.0,5.5,12.0,25,2.0
COROMANDEL,12.0,9.0,5.0,12.0,25,2.5
GLENMARK,22.0,15.0,5.5,13.0,30,2.0
KSB,16.0,12.0,5.5,12.0,25,2.0
ASTRAMICRO,24.0,17.0,6.0,13.0,30,2.0
CIPLA,14.0,11.0,5.5,12.0,25,2.0
MOTHERSON,16.0,12.0,5.5,12.0,25,2.0
MAZDOCK,20.0,14.0,5.5,12.0,25,2.0
HINDCOPPER,15.0,10.0,5.0,13.0,30,3.0
BHARTIARTL,16.0,12.0,5.5,12.0,25,2.0
MAXHEALTH,18.0,13.0,5.5,12.0,25,2.0
3BBLACKBIO,18.0,13.0,5.5,13.0,30,2.0
INDIGO,12.0,9.0,5.0,13.0,30,3.0
MARUTI,13.0,10.0,5.5,12.0,25,2.0
BHARATFORG,14.0,11.0,5.5,12.0,25,2.0
TORNTPHARM,18.0,13.0,5.5,12.0,25,2.0
BAJFINANCE,20.0,15.0,5.5,12.0,25,2.0
SUNPHARMA,12.0,10.0,5.5,12.0,25,2.0
OBEROIRLTY,14.0,11.0,5.5,12.0,25,2.0
CDSL,15.0,12.0,5.5,12.0,25,2.0
BDL,22.0,16.0,6.0,12.0,25,2.0
CYIENT,16.0,12.0,5.5,12.0,25,2.0
APOLLOHOSP,18.0,13.0,5.5,12.0,25,2.0
GRAVITA,20.0,14.0,5.5,12.0,25,2.0
LTFOODS,14.0,11.0,5.0,12.0,25,2.0
KAYNES,28.0,20.0,6.0,13.0,30,2.0
NBCC,16.0,12.0,5.5,12.0,25,2.0
ECORECO,18.0,13.0,6.0,13.0,30,2.0
NIFTYBEES,10.0,8.0,5.0,11.0,15,2.0
